iter	Passed	Remaining
0	2	204
1	3	175
2	5	162
3	6	148
4	7	148
5	9	147
6	11	152
7	13	150
8	14	146
9	16	144
10	17	142
11	19	140
12	20	137
13	21	134
14	23	133
15	24	131
16	26	131
17	28	129
18	29	125
19	30	120
20	30	116
21	31	112
22	32	108
23	33	105
24	34	102
25	35	100
26	37	100
27	38	98
28	39	96
29	39	93
30	40	89
31	41	87
32	41	84
33	42	82
34	43	80
35	43	77
36	44	75
37	44	73
38	45	71
39	46	69
40	46	67
41	46	64
42	47	62
43	47	61
44	48	59
45	49	57
46	49	56
47	50	55
48	51	53
49	52	52
50	52	50
51	53	49
52	54	47
53	54	46
54	55	45
55	55	43
56	56	42
57	56	41
58	57	40
59	58	38
60	58	37
61	59	36
62	60	35
63	60	34
64	61	33
65	61	31
66	62	30
67	63	29
68	63	28
69	64	27
70	65	26
71	65	25
72	66	24
73	66	23
74	68	22
75	68	21
76	69	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	72	14
83	73	13
84	73	13
85	74	12
86	74	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	84	1
98	84	0
99	85	0
